record_id,table_label,party_name,party_size,source,joined_at,promised_wait_minutes,scheduled_at,seated_at,cleared_at,available_at,outcome
demo-001,T1,Synthetic Party 01,2,WALK_IN,2026-08-28T10:05:00+08:00,15,,2026-08-28T10:18:00+08:00,2026-08-28T11:08:00+08:00,2026-08-28T11:17:00+08:00,SEATED
demo-002,T2,Synthetic Party 02,4,RESERVATION,,,2026-08-28T10:30:00+08:00,2026-08-28T10:34:00+08:00,2026-08-28T11:42:00+08:00,2026-08-28T11:53:00+08:00,SEATED
demo-003,B1,Synthetic Party 03,4,DIRECT,,,,2026-08-28T11:00:00+08:00,2026-08-28T12:22:00+08:00,2026-08-28T12:35:00+08:00,SEATED
demo-004,P1,Synthetic Party 04,2,WALK_IN,2026-08-28T11:25:00+08:00,20,,2026-08-28T11:49:00+08:00,2026-08-28T12:41:00+08:00,2026-08-28T12:50:00+08:00,SEATED
demo-005,T3,Synthetic Party 05,3,WALK_IN,2026-08-28T12:10:00+08:00,25,,,,,CANCELLED
demo-006,VIP1,Synthetic Party 06,6,RESERVATION,,,2026-08-28T18:00:00+08:00,2026-08-28T18:06:00+08:00,2026-08-28T19:41:00+08:00,2026-08-28T19:52:00+08:00,SEATED
demo-007,P2,Synthetic Party 07,3,WALK_IN,2026-08-28T18:12:00+08:00,30,,2026-08-28T18:39:00+08:00,2026-08-28T19:35:00+08:00,2026-08-28T19:45:00+08:00,SEATED
demo-008,B2,Synthetic Party 08,4,RESERVATION,,,2026-08-28T19:00:00+08:00,,,,NO_SHOW
demo-009,T1,Synthetic Party 09,2,DIRECT,,,,2026-08-29T10:10:00+08:00,2026-08-29T11:01:00+08:00,2026-08-29T11:10:00+08:00,SEATED
demo-010,T2,Synthetic Party 10,3,WALK_IN,2026-08-29T10:20:00+08:00,15,,2026-08-29T10:37:00+08:00,2026-08-29T11:45:00+08:00,2026-08-29T11:56:00+08:00,SEATED
demo-011,B1,Synthetic Party 11,4,RESERVATION,,,2026-08-29T11:30:00+08:00,2026-08-29T11:36:00+08:00,2026-08-29T12:54:00+08:00,2026-08-29T13:07:00+08:00,SEATED
demo-012,P1,Synthetic Party 12,2,WALK_IN,2026-08-29T12:00:00+08:00,20,,2026-08-29T12:16:00+08:00,2026-08-29T13:10:00+08:00,2026-08-29T13:19:00+08:00,SEATED
demo-013,T3,Synthetic Party 13,4,WALK_IN,2026-08-29T17:20:00+08:00,25,,2026-08-29T17:51:00+08:00,2026-08-29T19:00:00+08:00,2026-08-29T19:12:00+08:00,SEATED
demo-014,VIP1,Synthetic Party 14,7,RESERVATION,,,2026-08-29T18:30:00+08:00,2026-08-29T18:36:00+08:00,2026-08-29T20:08:00+08:00,2026-08-29T20:18:00+08:00,SEATED
demo-015,P2,Synthetic Party 15,3,WALK_IN,2026-08-29T18:42:00+08:00,30,,,,,CANCELLED
demo-016,B2,Synthetic Party 16,5,DIRECT,,,,2026-08-29T19:10:00+08:00,2026-08-29T20:27:00+08:00,2026-08-29T20:38:00+08:00,SEATED
demo-017,T1,Synthetic Party 17,2,WALK_IN,2026-08-30T10:00:00+08:00,10,,2026-08-30T10:09:00+08:00,2026-08-30T10:58:00+08:00,2026-08-30T11:07:00+08:00,SEATED
demo-018,T2,Synthetic Party 18,4,RESERVATION,,,2026-08-30T10:30:00+08:00,2026-08-30T10:41:00+08:00,2026-08-30T11:52:00+08:00,2026-08-30T12:04:00+08:00,SEATED
demo-019,B1,Synthetic Party 19,4,DIRECT,,,,2026-08-30T11:15:00+08:00,2026-08-30T12:40:00+08:00,2026-08-30T12:53:00+08:00,SEATED
demo-020,P1,Synthetic Party 20,1,WALK_IN,2026-08-30T11:35:00+08:00,15,,2026-08-30T11:48:00+08:00,2026-08-30T12:38:00+08:00,2026-08-30T12:47:00+08:00,SEATED
demo-021,T3,Synthetic Party 21,4,RESERVATION,,,2026-08-30T17:30:00+08:00,,,,CANCELLED
demo-022,VIP1,Synthetic Party 22,8,RESERVATION,,,2026-08-30T18:00:00+08:00,2026-08-30T18:04:00+08:00,2026-08-30T19:42:00+08:00,2026-08-30T19:54:00+08:00,SEATED
demo-023,P2,Synthetic Party 23,4,WALK_IN,2026-08-30T18:05:00+08:00,25,,2026-08-30T18:35:00+08:00,2026-08-30T19:34:00+08:00,2026-08-30T19:44:00+08:00,SEATED
demo-024,B2,Synthetic Party 24,6,WALK_IN,2026-08-30T18:20:00+08:00,35,,2026-08-30T19:02:00+08:00,2026-08-30T20:25:00+08:00,2026-08-30T20:39:00+08:00,SEATED
demo-025,T1,Synthetic Party 25,2,DIRECT,,,,2026-08-31T10:08:00+08:00,2026-08-31T10:57:00+08:00,2026-08-31T11:06:00+08:00,SEATED
demo-026,T2,Synthetic Party 26,3,WALK_IN,2026-08-31T10:15:00+08:00,20,,2026-08-31T10:33:00+08:00,2026-08-31T11:42:00+08:00,2026-08-31T11:52:00+08:00,SEATED
demo-027,B1,Synthetic Party 27,4,RESERVATION,,,2026-08-31T11:30:00+08:00,2026-08-31T11:37:00+08:00,2026-08-31T13:04:00+08:00,2026-08-31T13:18:00+08:00,SEATED
demo-028,P1,Synthetic Party 28,2,WALK_IN,2026-08-31T12:00:00+08:00,15,,,,,NO_SHOW
demo-029,T3,Synthetic Party 29,4,WALK_IN,2026-08-31T17:10:00+08:00,25,,2026-08-31T17:39:00+08:00,2026-08-31T18:50:00+08:00,2026-08-31T19:02:00+08:00,SEATED
demo-030,VIP1,Synthetic Party 30,7,RESERVATION,,,2026-08-31T18:30:00+08:00,2026-08-31T18:34:00+08:00,2026-08-31T20:06:00+08:00,2026-08-31T20:17:00+08:00,SEATED
demo-031,P2,Synthetic Party 31,3,WALK_IN,2026-08-31T18:40:00+08:00,20,,2026-08-31T19:03:00+08:00,2026-08-31T20:01:00+08:00,2026-08-31T20:11:00+08:00,SEATED
demo-032,B2,Synthetic Party 32,5,RESERVATION,,,2026-08-31T19:00:00+08:00,2026-08-31T19:08:00+08:00,2026-08-31T20:29:00+08:00,2026-08-31T20:42:00+08:00,SEATED
